Restaurant_ID,Cuisine
132560,Regional
132572,Cafeteria
132583,American
132584,Mexican
132594,Mexican
132608,Mexican
132609,Fast Food
132613,Mexican
132626,Italian
132630,Mexican
132663,Mexican
132665,Mexican
132667,Armenian
132668,Mexican
132706,Mexican
132715,Mexican
132717,Fast Food
132723,Mexican
132732,Mexican
132733,Pizzeria
132740,Mexican
132754,Mexican
132755,Mexican
132766,Japanese
132767,Vietnamese
132768,Family
132773,Family
132773,Mexican
132825,Mexican
132834,Mexican
132845,Mexican
132846,International
132851,American
132851,Game
132854,International
132856,Italian
132858,Burgers
132861,Burgers
132862,International
132866,Bakery
132866,Cafeteria
132869,Pizzeria
132870,Burgers
132872,American
132875,Japanese
132885,Cafeteria
132921,Bar
132922,Cafeteria
132925,Mexican
132937,Bar
132951,American
132954,Breakfast
132955,Brewery
132958,American
134976,Mexican
134976,Mediterranean
134976,Burgers
134983,Bar
134983,Brewery
134986,International
134999,Japanese
135018,Mexican
135019,Bar
135021,Fast Food
135025,Mexican
135026,Bar
135026,Brewery
135027,Mexican
135028,Mexican
135030,Coffee Shop
135030,Cafeteria
135032,Cafeteria
135032,Contemporary
135034,Japanese
135035,Italian
135039,Seafood
135041,Bar
135041,Cafeteria
135042,Chinese
135043,Fast Food
135043,Pizzeria
135044,Chinese
135046,Fast Food
135048,Bar
135049,Seafood
135052,Bar
135052,Brewery
135053,Cafeteria
135053,Fast Food
135053,Pizzeria
135054,Seafood
135055,Mexican
135057,Bar
135058,Pizzeria
135059,Bar
135060,Seafood
135069,Bar
135071,Bar
135071,Brewery
135072,Japanese
135073,Bar
135073,Brewery
135074,Contemporary
135075,Seafood
135079,Chinese
135085,Fast Food
135086,Burgers
135086,Fast Food
135088,Cafeteria
135104,Mexican
135106,Mexican
135109,Italian
